Name,Discipline,Affiliation,Qualifition
Samra Kiran,Social Sciences,"City University of Science & Information Technology, Peshawar",MS
Sanaullah Khan,Information Technology,"City University of Science & Information Technology, Peshawar",MS
Shah Room,Engineering Sciences,"City University of Science & Information Technology, Peshawar",MS
Dr. Shahab Samad,Engineering Sciences,"City University of Science & Information Technology, Peshawar",Ph.D.
Shams Farooq,Information Technology,"City University of Science & Information Technology, Peshawar",MS
Shehzad Saifullah,Information Technology,"City University of Science & Information Technology, Peshawar",MS
Sher Ali,Engineering Sciences,"City University of Science & Information Technology, Peshawar",MS
Sheraz Abbas,Engineering Sciences,"City University of Science & Information Technology, Peshawar",MS
Tayyba Tariq,Information Technology,"City University of Science & Information Technology, Peshawar",MS
Dr. Taza Gul,Mathematics & Statistics,"City University of Science & Information Technology, Peshawar",Ph.D.
Umar Farooq Khattak,Information Technology,"City University of Science & Information Technology, Peshawar",MS
Uzma,Social Sciences,"City University of Science & Information Technology, Peshawar",MS
Zafar Iqbal,Information Technology,"City University of Science & Information Technology, Peshawar",MS
Dr. Zain Ullah,Social Sciences,"City University of Science & Information Technology, Peshawar",Ph.D. in Progress
Zunnoorain Khan,Social Sciences,"City University of Science & Information Technology, Peshawar",MS
Dr. Aamir Hameed Khan,Health Sciences,"College of Physicians and Surgeons (CPSP), Karachi","FCPS, MBBS"
Dr. Aisha Sheikh,Health Sciences,"College of Physicians and Surgeons (CPSP), Karachi","FCPS, MBBS"
Dr. Imtiaz Shaikh,Health Sciences,"College of Physicians and Surgeons (CPSP), Karachi",MBBS
Dr. Tariq Hussain,Health Sciences,"College of Veterinary & Animal Sciences, Jhang",Ph.D.
Dr. Muhammad Zeeshan Hyder,Biological Sciences,"COMSATS Institute of Information Technology (CIIT), Islamabad",Ph.D.
Dr. Abdullah Shah,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Adam Khan,Engineering Sciences,COMSATS University Islamabad,
Dr. Adeel Ahmad,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Adeel Anjum,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Adnan,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Aftab Khan,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Ahsan Illahi,Physics,COMSATS University Islamabad,
Dr. Akbar Azam,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Anwar Ullah,Biological Sciences,COMSATS University Islamabad,
Arsalan Munir,Physics,COMSATS University Islamabad,
Dr. Arshad Bhatti,Physics,COMSATS University Islamabad,
Dr. Arshan Nasir,Biological Sciences,COMSATS University Islamabad,
Dr. Asghari Gul,Chemical Sciences,COMSATS University Islamabad,
Dr. Asia Nosheen,Biological Sciences,COMSATS University Islamabad,
Dr. Asif Waheed,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Atika Qazi,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Awais Ali,Physics,COMSATS University Islamabad,
Azeem Mehmood Butt,Biological Sciences,COMSATS University Islamabad,
Dr. Fahad Munir Abbasi,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Fahed Parvaiz,Biological Sciences,COMSATS University Islamabad,
Dr. Farha Masood,Biological Sciences,COMSATS University Islamabad,
Dr. Farhan Haq,Biological Sciences,COMSATS University Islamabad,
Dr. Fariha Khan,Biological Sciences,COMSATS University Islamabad,
Dr. Fatima-Tuz-Zahra,Physics,COMSATS University Islamabad,
Dr. Fauzia Yusuf Hafeez,Agricultural Sciences,COMSATS University Islamabad,
Dr. Ghulam Farid,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Guftaar Ahmad Sardar Sidhu,Engineering Sciences,COMSATS University Islamabad,
Dr. Habib Bokhari,Biological Sciences,COMSATS University Islamabad,
Dr. Hamza Qayyum,Physics,COMSATS University Islamabad,
Dr. Ishrat Mahjabeen,Biological Sciences,COMSATS University Islamabad,
Dr. Jamshaid Ahmad,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Kalim Ullah,Earth Sciences,COMSATS University Islamabad,
Dr. Kamal Hussain Khan,Physics,COMSATS University Islamabad,
Dr. Khurram Mehboob,Engineering Sciences,COMSATS University Islamabad,
Dr. Mahmood Akhtar Kayani,Health Sciences,COMSATS University Islamabad,
Dr. Mahnaz Haseeb,Physics,COMSATS University Islamabad,
Dr. Maleeha Azam,Biological Sciences,COMSATS University Islamabad,
Dr. Muhammad Ajmal,Biological Sciences,COMSATS University Islamabad,
Dr. Muhammad Anis-Ur-Rehman,Physics,COMSATS University Islamabad,
Dr. Muhammad Awais Javed,Engineering Sciences,COMSATS University Islamabad,
Dr. Muhammad Faraz Arshad Malik,Biological Sciences,COMSATS University Islamabad,
Dr. Muhammad Imran Shahzad,Earth Sciences,COMSATS University Islamabad,
Dr. Muhammad Irfan Ali,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Muhammad Nadeem Hassan,Agricultural Sciences,COMSATS University Islamabad,
Dr. Muhammad Qaiser Fatmi,Biological Sciences,COMSATS University Islamabad,
Dr. Muhammad Qasim,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Muhammad Rashid,Physics,COMSATS University Islamabad,
Dr. Muhammad Waseem,Chemical Sciences,COMSATS University Islamabad,
Dr. Muhammad Zafar Iqbal,Physics,COMSATS University Islamabad,
Dr. Muhammad Zaffar Hashmi,Earth Sciences,COMSATS University Islamabad,
Dr. Muhammad Zeesahn Hyder,Biological Sciences,COMSATS University Islamabad,
Dr. Mushtaq Ahmad,Physics,COMSATS University Islamabad,
Dr. Nadeem Javaid,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Najeeb Rehman,Physics,COMSATS University Islamabad,
Dr. Naseer Ali Shah,Biological Sciences,COMSATS University Islamabad,
Dr. Nazar Abbas Shah,Physics,COMSATS University Islamabad,
Dr. Nazneen Bangash,Earth Sciences,COMSATS University Islamabad,
Dr. Qudrat Khan,Engineering Sciences,COMSATS University Islamabad,
Dr. Rab Nawaz,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Rabia Naz,Biological Sciences,COMSATS University Islamabad,
Dr. Raheel Qamar,Biological Sciences,COMSATS University Islamabad,
Dr. Saadia Naseem,Biological Sciences,COMSATS University Islamabad,
Dr. Saeed Ahmad Asad,Earth Sciences,COMSATS University Islamabad,
Dr. Safia Zahid,Chemical Sciences,COMSATS University Islamabad,
Dr. Saif Ullah Awan,Physics,COMSATS University Islamabad,
Dr. Saima Noreen,Mathematics & Statistics,COMSATS University Islamabad,
Sajid Qamar,Physics,COMSATS University Islamabad,
Dr. Saleem Asghar,Mathematics & Statistics,COMSATS University Islamabad,
Sardar Muhammad Gulfam,Engineering Sciences,COMSATS University Islamabad,
Dr. Shabbar Abbas,Agricultural Sciences,COMSATS University Islamabad,
Shaher Bano,Biological Sciences,COMSATS University Islamabad,
Dr. Shamsul Qamar,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Shumaila Karamat,Physics,COMSATS University Islamabad,
Dr. Shurjeel Wyne,Engineering Sciences,COMSATS University Islamabad,
Dr. Syed Junaid Nawaz,Engineering Sciences,COMSATS University Islamabad,
Dr. Syed Kamran-Ul-Hassan Naqvi,Biological Sciences,COMSATS University Islamabad,
Dr. Syeda Hafiza Benish Ali,Biological Sciences,COMSATS University Islamabad,
Syeda Kiran Riaz,Biological Sciences,COMSATS University Islamabad,
Dr. Syeda Sitwat Batool,Physics,COMSATS University Islamabad,
Dr. Tahira Haroon,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Tayyaba Yasmin,Biological Sciences,COMSATS University Islamabad,
Dr. Toqeer Ahmed,Biological Sciences,COMSATS University Islamabad,
Dr. Waqqar Ahmed,Physics,COMSATS University Islamabad,
Dr. Yasir Faheem,Mathematics & Statistics,COMSATS University Islamabad,
Dr. Zahid Imran,Physics,COMSATS University Islamabad,
Dr. Zehra Agha,Biological Sciences,COMSATS University Islamabad,
Dr. Zia Uddin,Physics,COMSATS University Islamabad,
Dr. Abdul Jabbar Shah,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Abdul Mannan,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Abdur Rauf,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Adnan Ahmad Tahir,Earth Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Afsar Khan,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Ahson Jabbar Shaikh,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Ajmal Khan,Biological Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Aliya Ibrar,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Aneela Maalik,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Arshad Mehmood Abbasi,Biological Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Asad Muhammad Khan,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Atif Ali,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Faheem Shah,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Fazli Wahid,Biological Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Ghulam Murtaza,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Jamshed Iqbal,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Khizar Hayat,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Khurshid Ayub,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Malik Tahir Hayat,Earth Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Mohammad Arif,Earth Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Muhammad Ali,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Muhammad Arfat Yameen,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Muhammad Azeem,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Muhammad Fahad,Physics,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Muhammad Hanif,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Muhammad Imran Amirzada,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Muhammad Irshad,Agricultural Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Muhammad Sharif,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Nabi Shah,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Qaisar Mahmood,Earth Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Rafaqat Khan,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Rehana Rashid,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Rizwana Sarwar,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Sabaz Ali Khan,Agricultural Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Said Muhammad,Earth Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Saif Ullah Afridi,Biological Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Saira Azhar,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Samiullah Khan,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Shazim Ali Memon,Engineering Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Shujaat Ali Khan,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Sohail Anjum Shahzad,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Syed Tauqir Ali Sherazi,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Talat Nazir,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Taous Khan,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Tariq Mahmood,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Umar Farooq,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Umar Khan,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Umer Rashid,Chemical Sciences,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Waqas Jadoon,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Abbottabad campus",
Dr. Aamir Ali,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Abdul Qudair Baig,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Farooq Ahmed Shah,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Fawad Zaman,Engineering Sciences,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Fiaz Husain Shah,Engineering Sciences,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Muhammad Asif Zahoor Raja,Engineering Sciences,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Muhammad Awais,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Muhammad Tahir,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Muhammad Usman Ali,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Sadia Siddiqa,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Syed Hashim Raza Bukhari,Engineering Sciences,"COMSATS University Islamabad (CUI), Attock campus",
Dr. Aamir Sanaullah,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Abdul Jawad,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Abdul Samad Khan,Health Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Abdul Sattar,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Abdur Rahim,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Akbar Ali,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Akhtar Hayat,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Anila Asif,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Aqeel Ahmed Bazmi,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Aqif Anwar Chaudhry,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Arslan Usman,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Asad Ullah Khan,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Asim Laeeq Khan,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Asma Tufail,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Ather Farooq Khan,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Ayesha Ilyas,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Ayesha Sohail,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Faiza Sharif,Biological Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Fakhera Ikram,Biological Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Farasat Iqbal,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Farooq Ahmad,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Fozia Rehman,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Ghazanfar Abbas,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Ghulam Rasool,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Hamad Khalid,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Jawad Ali,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Lubna Sherin,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Maria Mustafa,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Mazhar Amjad Gilani,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Mian Hasnain Nawaz,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Ajmal Khan,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Asif,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Fraz Bashir,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Imran Rahim,Biological Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Ismail,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Jamil,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Junaid Amjad,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Nasir,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Noor-Ul-Amin,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Saif Ur Rehman,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Saleem,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Yar,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Yasin,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Yasir Rafique,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Muhammad Zubair,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Mukhtar Ahmad,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Murid Hussain,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Naim Rashid,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Nawshad Muhammad,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Noaman Ul-Haq,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Nosheen Akbar,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Riffat Jabeen,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Rizwan Raza,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Robina Farooq,Earth Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Robina Shahid,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Saadat Anwar Siddiqi,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Saleem Farooq Shaukat,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Samina Mazhar Ashraf,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Sana Javed,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Sara Riaz,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Shabana Nisar,Physics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Shamaila Rani,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Shameem Fatima,Biological Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Sher Zaman Safi,Biological Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Sikander Rafiq,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Sobia Tabassum,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Syed Muhammad Imran Hassan,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Syed Tahir Raza Rizvi,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Tahira Jibeen,Health Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Umar Nishan,Biological Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Umesalma Amjad,Engineering Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Usman Latif,Chemical Sciences,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Zulfiqar Habib,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Lahore campus",
Dr. Abrar Hussain,Biological Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Arslan Sehgal,Biological Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Awais Ihsan,Biological Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Hafiz Muhammad Arshad,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Sahiwal campus",
Mirza Ahmed Hammad Ul Mubeen Muhammad,Biological Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Muhammad Asad Meraj,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Muhammad Ibrahim,Biological Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Muhammad Kamran Siddiqui,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Muhammad Naeem,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Muhammad Raza,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Muhammad Sadiq Hashmi,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Muhammad Safdar,Engineering Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Muhammad Wasim Sajid,Agricultural Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Sabir Ali Shehzad,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Saeeda Usman,Engineering Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Shahid Qaisar,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Shazia Mannan,Biological Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Sumaira Kanwal,Biological Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Syed Aftab Naqvi,Engineering Sciences,"COMSATS University Islamabad (CUI), Sahiwal campus",
Dr. Behzad Murtaza,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Fariha Rehman,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Ghulam Abbas,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Ghulam Mustafa Shah,Earth Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Hafiz Mohkum Hammad,Earth Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Iftikhar Ahmad,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Khuda Bakhsh,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Muhammad Amjad,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Muhammad Farhan Saeed,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Muhammad Imtiaz Rashid,Earth Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Muhammad Ishaq,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Muhammad Nadeem,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Muhammad Sajjad,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Muhammad Shahid,Earth Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Muhammad Zakir Ali,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Noor Samad Shah,Chemical Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Samina Khalid,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Wajid Nasim,Agricultural Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Zia Ul Haq Khan,Chemical Sciences,"COMSATS University Islamabad (CUI), Vehari campus",
Dr. Ayaz Ahmad,Engineering Sciences,"COMSATS University Islamabad (CUI), Wah campus",
Dr. Hafiz Obaid Ullah Mehmood,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Wah campus",
Dr. M. Bilal,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Wah campus",
Dr. Mubashir Husain Rehmani,Engineering Sciences,"COMSATS University Islamabad (CUI), Wah campus",
Dr. Muhammad Abid,Engineering Sciences,"COMSATS University Islamabad (CUI), Wah campus",
Dr. Muhammad Bilal Ashraf,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Wah campus",
Dr. Muhammad Naeem,Engineering Sciences,"COMSATS University Islamabad (CUI), Wah campus",
Dr. Nadia Nawaz Qadri,Engineering Sciences,"COMSATS University Islamabad (CUI), Wah campus",
Dr. Nadir Shah,Mathematics & Statistics,"COMSATS University Islamabad (CUI), Wah campus",
Dr. Zeeshan Kaleem,Engineering Sciences,"COMSATS University Islamabad (CUI), Wah campus",
Muhammad Shahid,Mathematics & Statistics,"Cotton Research Station, Multan",M.Phil
Dr. Syed Farhan Abbas,Health Sciences,"Council For Works and Housing Research (CWHR), Karachi",Ph.D.
Javaid Akhtar,Biological Sciences,"Crop Diseases Research Institute (CDRI),  PARC-SARC, Karachi",MSc-Hons
Dr. Nasreen Sultana,Biological Sciences,"Crop Diseases Research Institute (CDRI),  PARC-SARC, Karachi",Ph.D.
Jehan Zaib Arshad,Biological Sciences,"Dadabhoy Institute of Higher Education (DIHE), Karachi",M.Phil
Maria Altf,Health Sciences,"Dadabhoy Institute of Higher Education (DIHE), Karachi",M. Phil.
Shafiq Ahmed,Biological Sciences,"Dadabhoy Institute of Higher Education (DIHE), Karachi",M.Phil.
Dr. Zaib-Un-Nisa,Social Sciences,"Dadabhoy Institute of Higher Education (DIHE), Karachi",Ph.D.
Dr. Abdul Karim Shah,Engineering Sciences,"Dawood University of Engineering and Technology (DUET), Karachi",Ph.D.
Dr. Abdul Sattar Jatoi,Engineering Sciences,"Dawood University of Engineering and Technology (DUET), Karachi",Ph.D.
Dr. Abdul Waheed Butto,Engineering Sciences,"Dawood University of Engineering and Technology (DUET), Karachi",Ph.D.
Arif Abdullah,Engineering Sciences,"Dawood University of Engineering and Technology (DUET), Karachi",MS
Dr. Dost Ali Khowaja,Engineering Sciences,"Dawood University of Engineering and Technology (DUET), Karachi",Ph.D.
Fahad Iqbal,Information Technology,"Dawood University of Engineering and Technology (DUET), Karachi",MS
Dr. Ghulam Abbas Kandhro,Chemical Sciences,"Dawood University of Engineering and Technology (DUET), Karachi",
Dr. Ghulamullah Maitlo,Engineering Sciences,"Dawood University of Engineering and Technology (DUET), Karachi",Ph.D.
Dr. Harron Jangda,Physics,"Dawood University of Engineering and Technology (DUET), Karachi",Ph.D.
Dr. Khursheed Mahmood,Engineering Sciences,"Dawood University of Engineering and Technology (DUET), Karachi",Ph.D.
Dr. Lubaina Adnan,Environmental Sciences,"Dawood University of Engineering and Technology (DUET), Karachi",Ph.D.
