Title,Description,Release,Genre,Year,link
Might and Magic VIII: Day of the Destroyer,Might and Magic VIII: Day of the Destroyer is a role-playing video game dev...,Mar-07-00,RPG,2019,https://www.game-debate.com/games/index.php?g_id=4023&game=Might%20and%20Magic%20VIII:%20Day%20of%20the%20Destroyer
Motocross Madness 2,"In MM2, there are six types of racing: Stunts, Enduro, Baja, Supercross and...",May-25-00,Sim,2019,https://www.game-debate.com/games/index.php?g_id=3258&game=Motocross%20Madness%202
Muppet Monster Adventure,"It's Halloween at creepy Castle von Honeydew, and some of your favourite Mu...",Oct-20-00,Platformer,2019,https://www.game-debate.com/games/index.php?g_id=9315&game=Muppet%20Monster%20Adventure
Nancy Drew: Message in a Haunted Mansion,Message in a Haunted Mansion is the 3rd installment in the Nancy Drew video...,Nov-24-00,Adventure,2019,https://www.game-debate.com/games/index.php?g_id=2892&game=Nancy%20Drew:%20Message%20in%20a%20Haunted%20Mansion
NASCAR 2000,NASCAR 2000 is a racing simulator video game developed and published by EA...,Feb-29-00,Sim,2019,https://www.game-debate.com/games/index.php?g_id=4689&game=NASCAR%202000
Need for Speed: Porsche Unleashed,Need for Speed Porsche Unleashed gives the player the opportunity to race P...,Jan-22-00,Sim,2019,https://www.game-debate.com/games/index.php?g_id=1884&game=Need%20for%20Speed:%20Porsche%20Unleashed
NHL 2001,"Jim Hughson remains as play-by-play announcer in the game, with Bill Clemen...",Sep-26-00,Sport,2019,https://www.game-debate.com/games/index.php?g_id=1558&game=NHL%202001
No One Lives Forever,The Operative: No One Lives Forever (commonly shortened to No One Lives For...,Nov-09-00,Shooter,2019,https://www.game-debate.com/games/index.php?g_id=4000&game=No%20One%20Lives%20Forever
Nox,Nox is an action role-playing game developed by Westwood Studios and publis...,Jan-31-00,RPG,2019,https://www.game-debate.com/games/index.php?g_id=1751&game=Nox
Pharaoh: Cleopatra,"Basically, Cleopatra picks up where Pharaoh left off and lets you take comm...",Sep-30-00,Sandbox,2019,https://www.game-debate.com/games/index.php?g_id=3591&game=Pharaoh:%20Cleopatra
Project IGI,Project I.G.I.: I'm Going In (released in Europe as simply Project I.G.I.)...,Dec-15-00,Shooter,2019,https://www.game-debate.com/games/index.php?g_id=1476&game=Project%20IGI
Resident Evil 3: Nemesis,"Resident Evil 3: Nemesis, released in Japan as Biohazard 3: Last Escape is...",Nov-24-00,Shooter,2019,https://www.game-debate.com/games/index.php?g_id=2050&game=Resident%20Evil%203:%20Nemesis
Riddle of the Sphinx: An Egyptian Adventure,,Dec-05-00,Adventure,2019,https://www.game-debate.com/games/index.php?g_id=3357&game=Riddle%20of%20the%20Sphinx:%20An%20Egyptian%20Adventure
Sacrifice,Sacrifice is a real-time strategy video game published by Interplay Enterta...,Nov-17-00,Strategy,2019,https://www.game-debate.com/games/index.php?g_id=3992&game=Sacrifice
Sea Dogs,Sea Dogs is a 2000 Russian role-playing video game for Windows developed by...,Nov-27-00,RPG,2019,https://www.game-debate.com/games/index.php?g_id=6019&game=Sea%20Dogs
Shogun: Total War,Shogun: Total War is a turn-based strategy and real-time tactics computer g...,Jun-13-00,Strategy,2019,https://www.game-debate.com/games/index.php?g_id=1879&game=Shogun:%20Total%20War
Slave Zero,"Taking place 500 years in the future, the game tells the story of Lu Chen,...",Mar-24-00,Action,2019,https://www.game-debate.com/games/index.php?g_id=2669&game=Slave%20Zero
Soldier of Fortune,"Based on the popular magazine of the same name, Soldier of Fortune delivers...",Mar-27-00,Shooter,2019,https://www.game-debate.com/games/index.php?g_id=4625&game=Soldier%20of%20Fortune
Space Empires IV Deluxe,The award-winning Space Empires IV Deluxe is the latest edition in the Spac...,Nov-07-00,Strategy,2019,https://www.game-debate.com/games/index.php?g_id=3013&game=Space%20Empires%20IV%20Deluxe
Star Trek Armada,"After a climactic battle over the Klingon homeworld, Toral is defeated. He...",Feb-29-00,Strategy,2019,https://www.game-debate.com/games/index.php?g_id=6220&game=Star%20Trek%20Armada
Starlancer,"StarLancer, the latest from Digital Anvil , combines the intense action of...",Mar-31-00,Sim,2019,https://www.game-debate.com/games/index.php?g_id=2765&game=Starlancer
